genre,track_name,track_id,artists_track,album_name,release_date,popularity,duration_ms
rock,Nada,1lpGX4TZPVgEKGGBDc3n9j,"Zoé, Bunbury",Colaboraciones España,2010-01-01,69,260439
rock,Rock or Bust,2vyae4DvSU2gs8OMOGwXF2,AC/DC,Rock or Bust,2014-11-28,62,183053
rock,Obsesionario en La Mayor,2YNMRnIJMCxDQWYfXRxJmB,Tan Bionica,Obsesionario,2010-01-01,69,266840
rock,Thunderstruck,52UWtKlYjZO3dHoRlWuz9S,AC/DC,Iron Man 2,2010-04-29,62,292413
rock,Sovereign Light Café,4QRkCwqwHFaZ7xeoR9CHL6,Keane,Strangeland,2012-05-07,58,218840
rock,Lola Montez,3ear11tYbMEmNDm2lxZTqL,Volbeat,Outlaw Gentlemen & Shady Ladies (Deluxe Version),2013-01-01,65,267680
rock,Leave It All Behind,4I58RPHVzDldHfK3t5HiZA,Cult To Follow,Leave It All Behind - Single,2011-12-20,66,224086
rock,Fever,3Hx7RXqCS7Kzjy2ot2q1Gk,The Black Keys,Turn Blue,2014-05-09,64,246306
rock,Taro,3R0aGgSQNVSPk0hDLTGwS3,alt-J,An Awesome Wave,2012-05-28,61,314986
rock,Cae el Sol,1Mqfdem6pgGVoULjSkkcc9,Airbag,Voragine,2011-05-01,68,281386
rock,Red Eyes,0rUIff1QHd5zlOBtlHVqd9,The War On Drugs,Lost In The Dream,2014-03-18,65,298920
rock,Rubia Sol Morena Luna,10BpvV0IRrd7D0gtHrBTN2,Caramelos De Cianuro,Caramelos de Cianuro,2010,56,174880
rock,Shot At The Night,2aZ2Co4NeQRsqWcU930zHT,The Killers,Direct Hits,2013-01-01,63,242506
rock,Rosemary,4FEr6dIdH6EqLKR0jB560J,Deftones,Koi No Yokan,2012-11-09,75,413346
rock,Rock You Like a Hurricane - 2011,46QazXxQS0B31CnbRCy8CV,Scorpions,Comeblack,2011-11-07,64,255573
rock,The Suburbs,5iItYl3Q6wCnKVfpK1uNVf,Arcade Fire,The Suburbs (Deluxe),2010-07-01,63,315026
rock,Final Masquerade,3aYBjxTMvrEOP0A0UXg9ER,Linkin Park,The Hunting Party,2014-06-09,68,217613
rock,Someday,2439UmlGFWg5C0CAreyr9L,"Eric Clapton, Mark Knopfler",Eric Clapton & Friends: The Breeze - An Appreciation Of JJ Cale,2014-01-01,56,228146
rock,I Got You,12jjuxN1gxlm29cqL5M6MW,Jack Johnson,From Here To Now To You,2013-01-01,66,179346
rock,Silenced By The Night,0BhGZmaQ1SET53qGkGvwxD,Keane,Strangeland,2012-05-07,58,196466
rock,La chispa adecuada (feat. León Larregui) - MTV Unplugged,5vnAu12wplLvx1XH01PwRH,"Bunbury, León Larregui",MTV Unplugged. El Libro De Las Mutaciones,2015-11-27,61,291117
rock,Brillas,0SRddBTphQwQcfqw4Br1uX,León Larregui,Solstis - De León Larregui,2012-01-01,76,226186
rock,I Miss the Misery,60rHc4AkLlP4XVSATvBb6K,Halestorm,The Strange Case of...,2012-04-03,68,183506
rock,After Dark,5FkJHVudUByVjanCqFXRql,Mr.Kitty,Time,2014-08-08,63,257147
rock,Every Breaking Wave,4z5eLUR8oCbRywMw1ytNol,U2,Songs Of Innocence (Deluxe),2014-01-01,58,252162
rock,Ese Maldito Momento,6MuJUSYCqA4FpMogUHzb2R,No Te Va Gustar,El Calor Del Pleno Invierno,2012-10-18,70,185866
rock,Shadow Moses,68osIGtVjM7QWVe6pazLHj,Bring Me The Horizon,Sempiternal (Expanded Edition),2013-04-01,70,243320
rock,Elephant,6qZjm61s6u8Ead9sWxCDro,Tame Impala,Lonerism,2012-01-01,70,211226
rock,Beryl,2dPTRjTrpjGUIuhPyfP9B5,Mark Knopfler,Tracker (Deluxe),2015-03-09,58,190919
rock,Bienvenidos (En Directo),3zFRkPmqDnHBxlMhrHEA78,Miguel Ríos,Bye Bye Rios: Rock Hasta el Final (En Directo),2011-04-12,45,230466
rock,No Te Apartes de Mí (feat. Valeria Bertuccelli),74KqkyHbpneHF6JT8EwUOO,"Vicentico, Valeria Bertuccelli",Vicentico 5,2012-09-25,67,198333
rock,Wish You Were Here,0GqGrPWhmiRX9BU93AYFOW,Pink Floyd,A Foot in the Door: The Best of Pink Floyd,2011,61,305507
rock,Do Ya Wanna Taste It,5XW4BwCrfYpci5zMbJxs4N,Wig Wam,Non Stop Rock'n Roll,2010-01-22,63,176973
rock,Oh Lord,5iJU96441eAZ2VdWgxdyJa,Foxy Shazam,Foxy Shazam,2010-04-12,63,250960
rock,Jekyll and Hyde,6efSwlK3LOlWOeKK9xlUKF,Five Finger Death Punch,Got Your Six,2015-09-04,63,206903
rock,I Sat by the Ocean,1D3YGmST01Ba0WRiT7THPG,Queens of the Stone Age,...Like Clockwork,2013-06-03,64,235586
rock,Cirice,5j3iBuHq6vv7VcBo4Y2QrK,Ghost,Meliora,2015-01-01,58,362093
rock,Runaways,62BxlOvQCjLNQA5ARA4Dug,The Killers,Battle Born,2012-09-17,59,243786
rock,Gallowdance,74SUn8w4lYSwgOGPvVZiEo,Lebanon Hanover,Tomb for Two,2013-10-10,67,231911
rock,Lotus Flower,2QeutlLcJf2V1cMUUsDFT1,Radiohead,The King Of Limbs,2011-02-18,61,300219
rock,If I Had A Gun…,4i4ArYpqtsA3MJ1k0o2dxq,Noel Gallagher's High Flying Birds,Noel Gallagher's High Flying Birds,2011-10-17,68,249106
rock,Killing Strangers,2naBVHNHinneXOYmczG7xE,Marilyn Manson,The Pale Emperor,2015-01-19,59,336487
rock,So Far Away,7Hr1Ignop7cymbE3FbOtXa,Avenged Sevenfold,Nightmare,2010-07-25,70,326813
rock,Me Gusta,67Q93kXygxCskeQiIP0V0j,Ciro y los Persas,27,2012-11-19,66,289654
rock,Loca,2n0NCtkvHx1oPqgiAvexiB,Tan Bionica,Obsesionario,2010-01-01,64,208813
rock,These Days,2kN05N1AQQplsgFweFAqYb,Foo Fighters,Wasting Light,2011-04-12,62,298266
rock,Lullaby,2vBiZ7nBe0OqTZKWGP0s4K,Nickelback,Here and Now,2011-11-14,66,228106
rock,Cough Syrup,1UqhkbzB1kuFwt2iy4h29Q,Young the Giant,Young The Giant (Special Edition),2011,71,249520
rock,True Friends,1KTJmfwrk5pYqsi9mkY3nT,Bring Me The Horizon,That's The Spirit,2015-09-11,65,232320
rock,Cómo pasa el tiempo,6Vk5QUhQ0v5OjYQIYvL5VL,El Cuarteto De Nos,Habla Tu Espejo,2014-10-06,59,260866
rock,No One Like You,5hVepr5CHiTGtJY5bP4i5n,Scorpions,Comeblack,2011-11-07,59,246533
rock,Gold on the Ceiling,5lN1EH25gdiqT1SFALMAq1,The Black Keys,El Camino,2011-12-06,64,224333
rock,Redbud Tree,1iEr3OkczMbk557RgIMtxm,Mark Knopfler,Privateering (Deluxe Version),2012-01-01,52,198546
rock,Out of the Black,1INksmStBpxdNlBzwGUvsg,Royal Blood,Royal Blood,2014-08-18,60,240572
rock,Sirens,1cAMXz9mnvrqyQLSG4KeeE,Pearl Jam,Lightning Bolt,2013-01-01,65,340320
rock,Panic Station,1tjHKKI0r82IB5KL29whHs,Muse,The 2nd Law,2012-09-24,59,184200
rock,Machu Picchu,6mVD1SfTvlFAPVi7txFL5H,The Strokes,Angles,2011-03-21,62,209626
rock,Happy Song,1yYE8EyuIV0rrvQ1bA2Fyf,Bring Me The Horizon,That's The Spirit,2015-09-11,67,239386
rock,Supremacy,40pPI2TbaYSZlKfV44HRjn,Muse,The 2nd Law,2012-09-24,61,295373
rock,Hopeless Wanderer,4dfLrcSJpjvoRlgkHZEqz1,Mumford & Sons,Babel (Deluxe Version),2012-09-21,53,307853
rock,The Lost Art Of Keeping A Secret,6FlAJtf8aSZOpEj9ITSfYh,Queens of the Stone Age,Rated R - Deluxe Edition,2010-01-01,59,216013
rock,No llora,1kEoU9Dmivr2JoOf7ramyT,El Cuarteto De Nos,Habla Tu Espejo,2014-10-06,64,259839
rock,Heartbreak Hotel,3cCjBRx4t1rh36FEy57KYK,"Elvis Presley, Axton, Durden, Presley",Only The Best,2014-01-28,57,132937
rock,Wash It All Away,5nRBTzF9dLIlNqnl0xWo9g,Five Finger Death Punch,Got Your Six,2015-09-04,63,224906
rock,White Gloves,7g18n5nxV5ep8ugBR3BmHD,Khruangbin,The Universe Smiles Upon You,2015-11-06,65,218306
rock,Personalmente,7q7XFO9av9VpNJSXKJwJxD,Las Pelotas,Despierta,2010-11-09,65,250357
rock,Nangs,1cCbsojaA6GIT7Y3zuMJ1q,Tame Impala,Currents,2015-07-17,72,107533
rock,A Warrior's Call,4o6k1XHlrIZay8v1m5VU83,Volbeat,Beyond Hell / Above Heaven,2010-09-10,68,263080
rock,No Me Importa el Dinero (feat. Julieta Venegas) - Vivo en el Palacio de los Deportes,4wXjnoLIMTninCnKRgGsQc,"Los Auténticos Decadentes, Julieta Venegas",En Vivo en el Palacio de los Deportes - 25 Aniversario,2012-05-10,64,234985
rock,Doomed,3lPn81PFyKvXiyHhlkwkQ4,Bring Me The Horizon,That's The Spirit,2015-09-11,67,274133
rock,Just Another Girl,3aVyHFxRkf8lSjhWdJ68AW,The Killers,Direct Hits,2013-01-01,60,262000
rock,Lonely Boy,3dOAXUx7I1qnzWzxdnsyB8,The Black Keys,Lonely Boy,2011-10-26,50,193653
rock,Califórnica,50gjhPjZCyQpya1Bcq2BNe,La Gusana Ciega,Monarca,2014-07-01,65,210491
rock,Weight of Love,3xMQOd1C3TXsjQ3pmzOmkC,The Black Keys,Turn Blue,2014-05-09,63,410186
rock,La Casa,73jLhrKOby9QOBdAdpnsOl,Caramelos De Cianuro,Caramelos de Cianuro,2010,55,268800
rock,Love Illumination,5dpGwO76CAPXE2ReVxwI6r,Franz Ferdinand,"Right Thoughts, Right Words, Right Action",2013-08-26,55,224266
rock,The Moment,1UYj8qTWjneZJDVjUMwMub,Tame Impala,Currents,2015-07-17,69,255413
rock,Hasta Que Te Conocí,1idGOi06xP8RGvdiQdFZHP,Maná,Exiliados En La Bahía: Lo Mejor De Maná (Edición Deluxe),2012-08-24,58,296426
rock,Ready to Start,33X9miK4Xz7pNeVrc9RITG,Arcade Fire,The Suburbs (Deluxe),2010-07-01,57,255906
rock,Corazón Espinado,687cEpJ1UMTw9zeWva5w4Z,Maná,Exiliados En La Bahía: Lo Mejor De Maná (Edición Deluxe),2012-08-24,53,276506
