genre,album_name,album_id,release_date,total_tracks,popularity,artists_album,artist_followers,artist_popularity,artist_genres
rock,Algo Sucede,1E7C32U8IgXEOPAUg5uNpm,2015-08-14,12,59,Julieta Venegas,3221844,77,"latin pop, latin rock"
rock,Los Momentos,7L5G2yWZKE08abmnCUvW49,2013-03-19,11,38,Julieta Venegas,3221844,77,"latin pop, latin rock"
rock,Otra Cosa,7rrYlu3nL2ZfW7RR9tSDMO,2010-03-16,12,49,Julieta Venegas,3221844,77,"latin pop, latin rock"
rock,Let It Be... Naked (Remastered),4KYcffwC5HgjJLdpQU9SjC,2014-01-01,11,47,The Beatles,30495231,86,"classic rock, psychedelic rock"
rock,On Air - Live At The BBC (Vol.2),4On0Hf7VJC1jz5gXY2cU8p,2013-11-11,63,40,The Beatles,30495231,86,"classic rock, psychedelic rock"
rock,AM,78bpIziExqiI9qztvNFlQu,2013-09-09,12,88,Arctic Monkeys,31572109,88,"indie, garage rock"
rock,Suck It and See,2ym2jcqckXqWeTDoxz3Kst,2011-06-06,12,64,Arctic Monkeys,31572109,88,"indie, garage rock"
rock,Tour Americano 14/15,1raRxblTKBGTQ0q0qZSn3o,2015-10-16,16,35,Jarabe De Palo,1841489,71,"rock en español, latin rock, latin alternative"
rock,Somos,1cyi0yclphC7UPuKm7ZP9S,2014-02-11,12,21,Jarabe De Palo,1841489,71,"rock en español, latin rock, latin alternative"
rock,Somos (Spotify Track By Track),6J4tf7E8HURNRfBDtkTLqW,2014-01-31,13,0,Jarabe De Palo,1841489,71,"rock en español, latin rock, latin alternative"
rock,Somos (Spotify Track By Track),0F8UXm0PxXQ7TdD2EUDgBm,2014-01-31,13,0,Jarabe De Palo,1841489,71,"rock en español, latin rock, latin alternative"
rock,¿Y Ahora Que Hacemos?,2Zh22bHXvqHRxGI7a5xfRX,2011,13,46,Jarabe De Palo,1841489,71,"rock en español, latin rock, latin alternative"
rock,The Hunting Party: Acapellas + Instrumentals,6hU9JCoqq4GjYq86dQ1o9b,2014-06-09,22,32,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
rock,The Hunting Party,3XB2yloP7l00tEUmaODtVi,2014-06-09,12,62,Linkin Park,31248582,92,"nu metal, rap metal, rock, alternative metal"
